base,e3_simpleascii,msB_simpleascii,msA_simpleascii,allen_simpleascii
e3_simpleascii:9.410,0,0,0,0
e3_simpleascii:9.411,0,0,3,0
e3_simpleascii:9.412,0,0,0,1
e3_simpleascii:9.413,0,0,13,0
e3_simpleascii:9.414,0,0,7,2
e3_simpleascii:9.415,0,0,0,0
e3_simpleascii:9.416,0,0,15,1
e3_simpleascii:9.417,0,0,0,1
e3_simpleascii:9.418,0,0,11,1
e3_simpleascii:9.419,0,0,15,0
e3_simpleascii:9.420,0,0,5,0
e3_simpleascii:9.421,0,0,7,1
e3_simpleascii:9.422,0,0,0,0
e3_simpleascii:9.423,0,0,0,1
e3_simpleascii:9.424,0,0,2,2
e3_simpleascii:9.425,0,0,0,1
e3_simpleascii:9.426,0,0,14,0
e3_simpleascii:9.427,0,0,20,2
e3_simpleascii:9.428,0,0,0,1
e3_simpleascii:9.429,0,0,14,1
e3_simpleascii:9.430,0,0,0,2
e3_simpleascii:9.431,0,0,21,0
e3_simpleascii:9.432,0,0,9,0
e3_simpleascii:9.433,0,0,10,1
e3_simpleascii:9.434,0,0,0,1
e3_simpleascii:9.435,0,0,9,3
e3_simpleascii:9.436,0,0,8,0
e3_simpleascii:9.437,0,0,0,1
e3_simpleascii:9.438,0,0,14,1
e3_simpleascii:9.439,0,0,4,1
e3_simpleascii:9.440,0,0,0,2
e3_simpleascii:9.441,0,0,22,2
e3_simpleascii:9.442,0,0,6,0
e3_simpleascii:9.443,0,0,13,1
e3_simpleascii:9.444,0,0,0,1
e3_simpleascii:9.445,0,0,0,2
e3_simpleascii:9.446,0,0,0,0
e3_simpleascii:9.447,0,0,0,0
e3_simpleascii:9.448,0,0,0,0
e3_simpleascii:9.449,0,0,1,0
e3_simpleascii:9.450,0,0,10,1
e3_simpleascii:9.451,0,0,5,2
e3_simpleascii:9.452,0,0,23,1
e3_simpleascii:9.453,0,0,6,2
e3_simpleascii:9.454,0,0,9,2
e3_simpleascii:9.455,0,0,2,2
e3_simpleascii:9.456,0,0,10,1
e3_simpleascii:9.457,0,0,0,0
e3_simpleascii:9.462,0,0,4,4
e3_simpleascii:9.463,0,0,11,0
e3_simpleascii:9.464,0,0,1,0
e3_simpleascii:9.465,0,0,10,0
e3_simpleascii:9.466,0,0,5,0
e3_simpleascii:9.467,0,0,8,0
e3_simpleascii:9.468,0,0,0,0
e3_simpleascii:9.469,0,0,9,1
e3_simpleascii:9.470,0,0,6,1
e3_simpleascii:9.471,0,0,4,5
e3_simpleascii:9.472,0,0,2,1
e3_simpleascii:9.473,0,0,7,1
e3_simpleascii:9.474,0,0,5,1
e3_simpleascii:9.475,0,0,1,1
e3_simpleascii:9.476,0,0,0,0
e3_simpleascii:9.477,0,0,10,2
e3_simpleascii:9.478,0,0,11,2
e3_simpleascii:9.479,0,0,0,1
e3_simpleascii:9.480,0,0,12,0
e3_simpleascii:9.481,0,0,2,4
e3_simpleascii:9.482,0,0,10,0
